iter	Passed	Remaining
0	54	54419
1	105	52410
2	158	52806
3	210	52397
4	263	52389
5	318	52754
6	365	51863
7	416	51642
8	464	51152
9	519	51425
10	567	51048
11	620	51062
12	666	50619
13	717	50553
14	766	50325
15	818	50318
16	865	50025
17	913	49846
18	956	49405
19	1005	49290
20	1055	49215
21	1104	49105
22	1153	49018
23	1202	48915
24	1251	48801
25	1298	48656
26	1348	48598
27	1395	48438
28	1443	48321
29	1494	48326
30	1545	48316
31	1590	48107
32	1641	48114
33	1686	47928
34	1734	47811
35	1784	47771
36	1829	47628
37	1878	47550
38	1927	47493
39	1972	47347
40	2023	47320
41	2074	47308
42	2119	47179
43	2165	47042
44	2213	46970
45	2268	47045
46	2323	47107
47	2378	47166
48	2423	47038
49	2471	46955
50	2523	46950
51	2566	46796
52	2616	46758
53	2662	46645
54	2710	46563
55	2758	46501
56	2811	46505
57	2859	46437
58	2905	46346
59	2950	46225
60	2991	46053
61	3040	46003
62	3086	45903
63	3134	45842
64	3178	45718
65	3222	45607
66	3271	45555
67	3316	45456
68	3364	45396
69	3413	45355
70	3459	45272
71	3505	45187
72	3553	45123
73	3604	45104
74	3650	45026
75	3696	44944
76	3743	44876
77	3788	44781
78	3830	44659
79	3877	44587
80	3927	44558
81	3971	44461
82	4019	44413
83	4065	44330
84	4114	44289
85	4161	44231
86	4210	44186
87	4254	44088
88	4304	44063
89	4353	44022
90	4402	43976
91	4446	43887
92	4495	43845
93	4540	43762
94	4587	43704
95	4634	43637
96	4683	43598
97	4728	43521
98	4778	43492
99	4827	43443
100	4868	43333
101	4914	43269
102	4961	43205
103	5009	43161
104	5056	43099
105	5111	43112
106	5159	43058
107	5204	42987
108	5252	42933
109	5301	42893
110	5352	42871
111	5405	42854
112	5458	42848
113	5522	42921
114	5579	42937
115	5640	42981
116	5697	42999
117	5752	42994
118	5800	42942
119	5850	42904
120	5904	42891
121	5957	42873
122	6003	42807
123	6056	42783
124	6110	42772
125	6166	42774
126	6216	42734
127	6272	42730
128	6327	42722
129	6379	42694
130	6427	42636
131	6474	42573
132	6526	42544
133	6578	42511
134	6630	42486
135	6680	42443
136	6729	42392
137	6779	42348
138	6826	42285
139	6872	42219
140	6920	42162
141	6968	42102
142	7016	42049
143	7060	41972
144	7105	41896
145	7159	41877
146	7205	41813
147	7256	41772
148	7300	41696
149	7348	41640
150	7393	41571
151	7441	41514
152	7485	41436
153	7535	41397
154	7581	41331
155	7626	41260
156	7670	41185
157	7717	41125
158	7760	41048
159	7817	41041
160	7864	40983
161	7913	40936
162	7959	40870
163	8008	40823
164	8054	40762
165	8095	40672
166	8148	40643
167	8196	40592
168	8242	40529
169	8290	40477
170	8334	40405
171	8376	40326
172	8421	40258
173	8464	40181
174	8513	40136
175	8559	40073
176	8604	40008
177	8649	39943
178	8697	39890
179	8742	39825
180	8785	39753
181	8832	39695
182	8877	39632
183	8925	39583
184	8973	39530
185	9042	39572
186	9097	39552
187	9143	39490
188	9189	39433
189	9235	39372
190	9279	39304
191	9327	39252
192	9374	39195
193	9417	39127
194	9461	39060
195	9510	39010
196	9554	38943
197	9596	38869
198	9641	38806
199	9684	38738
200	9733	38691
201	9781	38643
202	9826	38581
203	9873	38525
204	9917	38458
205	9964	38406
206	10013	38361
207	10057	38295
208	10105	38247
209	10156	38208
210	10206	38165
211	10257	38126
212	10302	38066
213	10348	38008
214	10396	37959
215	10438	37887
216	10487	37842
217	10536	37796
218	10579	37727
219	10622	37662
220	10666	37598
221	10715	37553
222	10763	37503
223	10811	37453
224	10855	37391
225	10899	37328
226	10947	37278
227	10999	37244
228	11049	37201
229	11093	37140
230	11138	37080
231	11185	37027
232	11233	36977
233	11277	36917
234	11320	36851
235	11369	36807
236	11412	36740
237	11462	36700
238	11507	36639
239	11555	36592
240	11606	36553
241	11655	36506
242	11706	36469
243	11753	36417
244	11807	36384
245	11848	36317
246	11892	36256
247	11935	36190
248	11984	36146
249	12032	36098
250	12078	36042
251	12124	35988
252	12171	35936
253	12221	35895
254	12264	35831
255	12314	35789
256	12359	35732
257	12408	35686
258	12461	35653
259	12511	35608
260	12560	35562
261	12603	35501
262	12649	35447
263	12702	35412
264	12748	35359
265	12794	35305
266	12840	35252
267	12886	35198
268	12934	35150
269	12984	35106
270	13032	35058
271	13080	35008
272	13133	34975
273	13192	34954
274	13245	34921
275	13295	34875
276	13347	34837
277	13401	34805
278	13457	34777
279	13512	34746
280	13562	34703
281	13621	34681
282	13675	34648
283	13726	34605
284	13778	34567
285	13823	34509
286	13875	34471
287	13922	34419
288	13975	34383
289	14023	34334
290	14070	34282
291	14120	34238
292	14172	34197
293	14219	34145
294	14274	34113
295	14322	34064
296	14370	34015
297	14417	33963
298	14466	33916
299	14518	33875
300	14563	33821
301	14609	33767
302	14658	33720
303	14703	33663
304	14746	33602
305	14796	33558
306	14845	33512
307	14887	33448
308	14933	33394
309	14980	33343
310	15030	33298
311	15077	33247
312	15123	33194
313	15170	33142
314	15214	33085
315	15259	33029
316	15303	32973
317	15346	32913
318	15395	32865
319	15441	32813
320	15488	32761
321	15536	32712
322	15579	32655
323	15627	32605
324	15668	32542
325	15714	32490
326	15757	32431
327	15800	32371
328	15849	32324
329	15893	32269
330	15936	32209
331	15981	32156
332	16035	32118
333	16111	32125
334	16159	32077
335	16201	32016
336	16242	31954
337	16293	31911
338	16341	31863
339	16389	31814
340	16433	31759
341	16481	31710
342	16528	31660
343	16578	31614
344	16624	31561
345	16672	31514
346	16718	31461
347	16766	31413
348	16814	31364
349	16861	31314
350	16902	31253
351	16948	31200
352	16994	31148
353	17038	31093
354	17087	31046
355	17133	30994
356	17179	30941
357	17226	30891
358	17274	30843
359	17321	30793
360	17370	30746
361	17413	30690
362	17463	30645
363	17514	30602
364	17561	30551
365	17604	30495
366	17649	30441
367	17695	30390
368	17740	30336
369	17785	30283
370	17833	30235
371	17878	30182
372	17926	30133
373	17973	30084
374	18021	30036
375	18067	29983
376	18111	29930
377	18167	29894
378	18219	29852
379	18265	29801
380	18307	29743
381	18350	29687
382	18390	29627
383	18444	29587
384	18489	29534
385	18539	29490
386	18586	29440
387	18630	29385
388	18672	29329
389	18719	29278
390	18765	29228
391	18809	29173
392	18855	29123
393	18911	29087
394	18978	29068
395	19034	29032
396	19084	28987
397	19136	28945
398	19188	28902
399	19233	28850
400	19281	28802
401	19332	28759
402	19381	28712
403	19433	28669
404	19486	28627
405	19543	28593
406	19587	28539
407	19638	28494
408	19686	28446
409	19732	28396
410	19779	28346
411	19827	28298
412	19876	28250
413	19927	28205
414	19981	28167
415	20038	28131
416	20093	28092
417	20158	28067
418	20215	28031
419	20271	27993
420	20320	27946
421	20375	27907
422	20413	27844
423	20468	27805
424	20516	27758
425	20565	27710
426	20609	27656
427	20657	27607
428	20691	27540
429	20738	27490
430	20784	27438
431	20828	27384
432	20876	27336
433	20924	27289
434	20971	27239
435	21020	27191
436	21063	27136
437	21115	27092
438	21159	27039
439	21205	26988
440	21247	26932
441	21292	26881
442	21338	26829
443	21386	26781
444	21436	26734
445	21483	26685
446	21531	26637
447	21575	26583
448	21621	26533
449	21668	26483
450	21715	26433
451	21764	26387
452	21813	26339
453	21858	26287
454	21901	26233
455	21947	26182
456	21995	26134
457	22036	26078
458	22083	26028
459	22137	25987
460	22194	25949
461	22245	25905
462	22293	25856
463	22334	25800
464	22378	25746
465	22423	25695
466	22472	25647
467	22516	25595
468	22561	25543
469	22608	25495
470	22655	25445
471	22703	25396
472	22745	25342
473	22793	25293
474	22845	25250
475	22890	25198
476	22939	25151
477	22988	25104
478	23036	25056
479	23083	25007
480	23124	24951
481	23170	24900
482	23218	24852
483	23260	24798
484	23307	24748
485	23352	24697
486	23397	24646
487	23443	24595
488	23487	24544
489	23534	24494
490	23582	24446
491	23627	24396
492	23670	24342
493	23716	24292
494	23761	24241
495	23804	24188
496	23851	24139
497	23901	24093
498	23948	24044
499	23991	23991
500	24036	23940
501	24082	23890
502	24128	23840
503	24175	23792
504	24221	23741
505	24269	23693
506	24319	23647
507	24365	23598
508	24408	23545
509	24451	23492
510	24497	23442
511	24539	23389
512	24588	23342
513	24631	23289
514	24674	23237
515	24718	23185
516	24764	23135
517	24807	23083
518	24852	23032
519	24899	22983
520	24943	22932
521	24992	22885
522	25035	22833
523	25082	22784
524	25130	22737
525	25175	22686
526	25226	22641
527	25269	22589
528	25320	22543
529	25396	22521
530	25443	22472
531	25492	22425
532	25536	22373
533	25583	22325
534	25628	22275
535	25673	22224
536	25719	22175
537	25765	22125
538	25813	22077
539	25856	22025
540	25906	21979
541	25950	21928
542	25994	21877
543	26041	21829
544	26092	21784
545	26145	21740
546	26193	21691
547	26240	21643
548	26286	21594
549	26329	21541
550	26370	21489
551	26410	21434
552	26458	21387
553	26503	21336
554	26552	21289
555	26599	21241
556	26643	21190
557	26684	21136
558	26731	21089
559	26778	21039
560	26822	20989
561	26870	20941
562	26913	20890
563	26959	20840
564	27006	20792
565	27058	20748
566	27103	20698
567	27148	20648
568	27194	20599
569	27242	20551
570	27289	20503
571	27333	20452
572	27381	20404
573	27440	20365
574	27487	20316
575	27530	20265
576	27576	20216
577	27619	20165
578	27660	20112
579	27696	20055
580	27745	20009
581	27792	19960
582	27838	19911
583	27884	19863
584	27930	19813
585	27979	19767
586	28026	19718
587	28069	19667
588	28114	19618
589	28166	19573
590	28213	19524
591	28255	19473
592	28298	19422
593	28344	19373
594	28397	19329
595	28443	19280
596	28493	19234
597	28536	19183
598	28571	19127
599	28621	19080
600	28668	19032
601	28714	18983
602	28758	18934
603	28802	18883
604	28848	18834
605	28897	18788
606	28943	18739
607	28987	18689
608	29032	18639
609	29078	18591
610	29122	18541
611	29168	18492
612	29215	18444
613	29264	18397
614	29313	18350
615	29358	18301
616	29402	18251
617	29453	18206
618	29497	18155
619	29545	18108
620	29591	18059
621	29640	18012
622	29684	17962
623	29732	17915
624	29765	17859
625	29811	17810
626	29853	17759
627	29898	17710
628	29952	17666
629	29999	17618
630	30040	17567
631	30089	17520
632	30138	17473
633	30194	17430
634	30245	17385
635	30279	17330
636	30322	17279
637	30367	17230
638	30417	17184
639	30462	17135
640	30509	17087
641	30556	17039
642	30601	16990
643	30648	16942
644	30697	16895
645	30740	16845
646	30788	16798
647	30824	16743
648	30873	16697
649	30915	16646
650	30957	16596
651	31000	16546
652	31042	16495
653	31090	16448
654	31137	16400
655	31185	16353
656	31233	16306
657	31277	16256
658	31324	16208
659	31369	16159
660	31417	16112
661	31466	16065
662	31511	16016
663	31555	15967
664	31602	15920
665	31649	15872
666	31696	15824
667	31743	15776
668	31788	15728
669	31834	15679
670	31880	15631
671	31929	15584
672	31974	15535
673	32021	15488
674	32068	15440
675	32117	15393
676	32162	15344
677	32205	15295
678	32250	15246
679	32291	15196
680	32339	15148
681	32388	15101
682	32432	15052
683	32474	15002
684	32521	14955
685	32568	14907
686	32616	14860
687	32660	14811
688	32705	14762
689	32752	14714
690	32797	14666
691	32844	14618
692	32895	14572
693	32941	14524
694	32987	14476
695	33036	14429
696	33086	14383
697	33131	14335
698	33178	14287
699	33230	14241
700	33273	14192
701	33319	14144
702	33363	14095
703	33411	14048
704	33461	14001
705	33505	13952
706	33555	13906
707	33602	13858
708	33643	13808
709	33691	13761
710	33739	13714
711	33788	13667
712	33833	13618
713	33882	13572
714	33930	13524
715	33975	13476
716	34021	13428
717	34066	13379
718	34113	13332
719	34161	13285
720	34209	13237
721	34254	13189
722	34297	13140
723	34345	13093
724	34391	13044
725	34436	12996
726	34487	12950
727	34539	12904
728	34582	12855
729	34651	12816
730	34710	12773
731	34756	12725
732	34802	12677
733	34850	12629
734	34900	12583
735	34950	12536
736	34996	12488
737	35043	12440
738	35078	12389
739	35123	12340
740	35169	12292
741	35209	12242
742	35253	12194
743	35300	12146
744	35342	12097
745	35387	12048
746	35431	12000
747	35466	11948
748	35512	11900
749	35560	11853
750	35605	11805
751	35651	11757
752	35701	11710
753	35749	11663
754	35795	11615
755	35841	11568
756	35890	11520
757	35935	11472
758	35979	11424
759	36026	11376
760	36067	11327
761	36112	11279
762	36156	11230
763	36200	11182
764	36248	11135
765	36295	11087
766	36342	11040
767	36386	10991
768	36432	10944
769	36481	10896
770	36528	10849
771	36570	10800
772	36618	10753
773	36659	10704
774	36702	10655
775	36749	10608
776	36796	10560
777	36840	10512
778	36888	10465
779	36934	10417
780	36978	10369
781	37022	10320
782	37070	10273
783	37115	10225
784	37163	10178
785	37210	10131
786	37256	10083
787	37304	10036
788	37349	9988
789	37394	9940
790	37440	9892
791	37487	9845
792	37528	9796
793	37572	9747
794	37617	9700
795	37662	9652
796	37712	9605
797	37757	9557
798	37804	9510
799	37854	9463
800	37901	9416
801	37949	9368
802	37992	9320
803	38035	9272
804	38080	9224
805	38133	9178
806	38185	9132
807	38233	9085
808	38278	9037
809	38324	8989
810	38369	8941
811	38412	8893
812	38457	8845
813	38508	8799
814	38555	8751
815	38597	8703
816	38654	8658
817	38700	8610
818	38747	8563
819	38792	8515
820	38827	8465
821	38872	8417
822	38916	8369
823	38962	8322
824	39007	8274
825	39053	8226
826	39104	8180
827	39145	8131
828	39199	8085
829	39243	8037
830	39291	7990
831	39334	7942
832	39384	7895
833	39426	7847
834	39477	7800
835	39524	7753
836	39571	7706
837	39619	7659
838	39666	7611
839	39716	7565
840	39752	7515
841	39801	7468
842	39843	7420
843	39894	7373
844	39935	7325
845	39981	7277
846	40030	7231
847	40073	7183
848	40119	7135
849	40165	7087
